SampleID,RUN,Group_RUN
7-ZMC057,Research-mrdgw-all-batch2,06062024
8-ZMG093,Research-mrdgw-all-batch2,06062024
6-ZMC071A,Research-mrdgw-all-batch2,06062024
6-MDGAAA16,Research-mrdgw-all-batch2,06062024
8-ZMC046B,Research-mrdgw-all-batch2,06062024
3-MQAAAA19,Research-mrdgw-all-batch2,06062024
12-ZNAB09A,Research-mrdgw-all-batch2,06062024
1-YCAB14,Research-mrdgw-all-batch2,06062024
15-MDGAAB43,Research-mrdgw-all-batch2,06062024
1-HAAA31,Research-mrdgw-all-batch2,06062024
4-ZMC006A,Research-mrdgw-all-batch2,06062024
6-HAGAAA11,Research-mrdgw-all-batch2,06062024
2-HMAAAA16,Research-mrdgw-all-batch2,06062024
2-HAAAAA27,Research-mrdgw-all-batch2,06062024
3-ZMC005B,Research-mrdgw-all-batch2,06062024
2-YCAB06,Research-mrdgw-all-batch2,06062024
3-HHAA22,Research-mrdgw-all-batch2,06062024
7-ZIL105A,Research-mrdgw-all-batch2,06062024
4-ZTKL10B,Research-mrdgw-all-batch2,06062024
16-ZMB596A,Research-mrdgw-all-batch2,06062024
10-ZNAB06A,Research-mrdgw-all-batch2,06062024
8-ZMC005,Research-mrdgw-all-batch2,06062024
6-ZTKL12B,Research-mrdgw-all-batch2,06062024
2-MUAAAA44,Research-mrdgw-all-batch2,06062024
8-ZIL106A,Research-mrdgw-all-batch2,06062024
16-MDGAAB45,Research-mrdgw-all-batch2,06062024
1-ZMB602A,Research-mrdgw-all-batch2,06062024
3-ZTKL09B,Research-mrdgw-all-batch2,06062024
12-ZMH056A,Research-mrdgw-all-batch2,06062024
4-HMAA08,Research-mrdgw-all-batch2,06062024
15-ZMB581A,Research-mrdgw-all-batch2,06062024
7-ZMC046A,Research-mrdgw-all-batch2,06062024
4-HAGAAA18,Research-mrdgw-all-batch2,06062024
13-ZMH056B,Research-mrdgw-all-batch2,06062024
14-MUGAAA67,Research-mrdgw-all-batch2,06062024
11-ZMH047D,Research-mrdgw-all-batch2,06062024
5-ZMC006B,Research-mrdgw-all-batch2,06062024
1-ZMC031,Research-mrdgw-all-batch2,06062024
14-ZMH056D,Research-mrdgw-all-batch2,06062024
